Year,ChangeType,PopChange
2010,NatChange,2847
2010,Migration,897
2011,NatChange,10448
2011,Migration,7581
2012,NatChange,10768
2012,Migration,10140
2013,NatChange,10865
2013,Migration,13178
2014,NatChange,11257
2014,Migration,12273
2015,Migration,12564
2015,NatChange,10442
2016,Migration,10181
2016,NatChange,10667
2017,Migration,14592
2017,NatChange,10157
2018,Migration,6935
2018,NatChange,9494
2019,Migration,3853
2019,NatChange,9356
2020,Migration,-301
2020,NatChange,1447
2021,NatChange,5819
2021,Migration,-6504
